content,like,comment,share,forward,date
"「嘉義仁愛門市」開幕！
為了讓大家不再排隊太久，
我們已經在內部增加人力，
讓出茶速度提升三到四倍！
-
感謝每一位喜愛八曜茶品的好友，
謝謝你們的耐心與支持，我們會繼續努力！
-
嘉義開幕慶「柚香覺醒307買一送」唷～",352,4,2,0,2025-4-6
"今天嘉義仁愛門市
開幕慶:红心:「柚香覺醒307」買一送一
好康緊來嘿:OK:",10,7,8,107,2025-4-6
"4/6嘉義仁愛店開幕送:红心:
「柚香覺醒307」買一送一
-
嘉義的朋友準備好了嗎～",26,1,6,8,2025-4-5
"4/4 「嘉義仁愛」門市開幕
八曜綠巨人白奶茶同步販售中:红心:",9,0,1,0,2025-4-5
"▾▾▾抽獎資格這邊看 ▾▾▾
:播放按钮:追蹤八曜和茶+按讚分享貼文
:播放按钮:標記3位好友
:播放按钮:於本貼文下方留言:
:反手食指向下指::反手食指向下指::反手食指向下指::反手食指向下指::反手食指向下指::反手食指向下指::反手食指向下指::反手食指向下指::反手食指向下指:
:警告:好想喝滿滿玉米粒的八曜綠巨人白奶茶!!:警告:
※一帳號只可留言一次，重複留言僅以首次留言為準
▲活動時間：即日起~至4/10(四)12:00截止
▲公布中獎名單：2025/4/16(三)
▲中選者需於 2025/4/22(二)23:59 前
私訊小編核對身份，逾期者將取消資格
:礼物:獎品內容：
:黑色中小方块: 八曜綠巨人聯名限定T-shirt x1 (FB、IG、Threads各抽1組)　或
:黑色中小方块: 「八曜綠巨人白奶茶」新品兌換券x1 (FB、IG、Threads各抽3組)
(八曜和茶有限公司保留調整活動內容之權利。)",49,17,107,68,2025-4-4
"連假第一天
-
1.你還在睡 大概12點以後才會看到這篇文
2.你正在掃墓的路上，或是被卡在國道
3.買八曜綠巨人白奶茶的路上",970,29,5,0,2025-4-4
4/4。玉米白奶茶「波滋波滋」見真章,8,1,2,7,2025-4-3
"連假想去哪？
4/4 有兩個必去之處！！
-
:反手食指向右指:「八曜綠巨人白奶茶」正！式！販！售！
:反手食指向右指:「嘉義站前仁愛門市」正！式！開！幕！
-
喝完絕對翹起來，翹起大拇指的啦！",34,1,44,213,2025-4-3
"小孩愛喝，4月4號「波滋波滋」起來！
無咖啡因燕麥奶，搭配好吃玉米:玉米:",50,1,9,9,2025-4-2
"這個是巴曜綠巨人
4/4即將登場～",315,3,106,595,2025-4-1
"石頭！！
-
你竟然贏了，4/4我們八曜和茶見
輸了來這裡:反手食指向下指:",18,2,16,114,2025-3-31
"4/4 全台門市販售:红心:
玉米控的最愛，「波滋波滋」的快感
-
八曜綠巨人主題曲:反手食指向下指:聽完回不去了",86,1,219,4758,2025-3-30
"八曜綠巨人白奶茶，波滋波滋的口感
4/4我們八曜見:红心:",290,1,812,21000,2025-3-29
4/4門市正式販售:红心:,28,1,140,5030,2025-3-28
3/28即將揭曉新品預告,19,0,13,18,2025-3-27
":三角旗: ❹/❹【嘉義站前仁愛門市】盛大開幕
-
只要在八曜任一社群平台
（FB、IG、Threads）
完成:反手食指向右指:追蹤+按讚+TAG 3位好友:反手食指向左指:
並掃描貼文QRcode:反手食指向右指:加入八曜會員:反手食指向左指:!!
就可以享以下開幕限定活動:带吸管杯:
-
:勾号按钮:❹/❹~❹/❺
消費飲品滿60元
送10元代金券1張:红色感叹号:
▻周邊商品(含HCY象印保溫瓶、
HCY提袋、盒裝ㄦㄦ菌、
YO307清爽柚·香氛片、八曜8金包)除外。
▻消費滿120元即贈兩張10元代金券，
以此類推。
-
:勾号按钮:❹/❻
柚香覺醒307 買一送一
大放送:红色感叹号:
-
▻10元代金券使用期限為開幕日起30天內
▻以上三日開幕門市優惠活動
無提供累積會員點數
▻優惠活動限來店消費適用
八曜和茶保有最終活動解釋權
-
門市資訊
:神社:：嘉義市西區仁愛路582號
:电话:：05-2276297
:神社:營業時間：9:30~22:30",10,1,18,437,2025-3-26
"只要在留言處留下並分享轉發
:反手食指向右指:喝八曜看幾米，4/4聽說很有料？:反手食指向左指:
就有機會抽到..?
-
《幾米男孩的100次勇敢》FOCASA馬戲團
● 演出地點：水交社文化園區旁大草地
● 演出地址：臺南市南區水交社一街
-
有留言有機會趕快來抽抽~
曜頭送券不手軟!!
-
八曜官方三個社群平台都有送!!
連假一起來體驗
幾米與FOCASA馬戲團的夢幻之旅
-
※一帳號只可留言一次，重複留言僅以首次留言為準
:礼物:獎品內容：4/4門票1張（共抽出30組)
▲活動時間：即日起~至3/27(四)12:00截止
▲公布中獎名單：2025/3/28(五)
▲中選者需於 2025/3/30(日)23:59 前
私訊小編核對身份，逾期者將取消資格
(八曜和茶有限公司保留調整活動內容之權利。)",9,3,54,28,2025-3-26
"曜粉說八曜只有白玉珍珠
吃起來不夠爽？
-
曜頭聽見大家的心聲了
我們找到一種吃起來「波滋波滋」
超有料的料.. 3/28預告..敬請期待..
-
期待打期待",2316,62,15,0,2025-3-25
"▾▾▾抽獎資格這邊看 ▾▾▾
:播放按钮:追蹤八曜和茶+按讚分享貼文
:播放按钮:標記3位好友
@追蹤者
:播放按钮:於本貼文下方留言:
:反手食指向下指::反手食指向下指::反手食指向下指::反手食指向下指::反手食指向下指::反手食指向下指::反手食指向下指::反手食指向下指::反手食指向下指:
:警告:八曜（猜猜這次跟誰聯名）白奶茶:警告:
猜對新品名稱即可參加抽選:双感叹号:
※一帳號只可留言一次，重複留言僅以首次留言為準
▲ 活動時間：即日起~至3/30(日)12:00截止
▲ 公布中獎名單：2025/3/31(一)
▲中選者需於 2025/4/8(二)23:59 前
私訊小編核對身份，逾期者將取消資格
:礼物:獎品內容：八曜招牌小燈箱x1(FB、IG、Threads各抽2組) 或 八曜xINCODER限量祈福黑珠繩袋1個 (FB、IG、Threads各抽4組)
(八曜和茶有限公司保留調整活動內容之權利。)",22,4,146,482,2025-3-24
"煩悶、想要點無負擔清爽
用無咖啡因的茶品來開啟一天
-
八曜新飲食文化的自然選擇",8,0,5,26,2025-3-23
"喝飲料看「吸管使用位置」
就可以看出一個人的習慣
-
1.用吸管前段
有品味喜歡品嚐茶品香氣的人",446,2,10,0,2025-3-22
"嘉義的朋友注意喔:警告:
文化店裝修升級中～
-
怕大家嚇到:红心:",118,1,1,0,2025-3-21
"但是如果在天氣冷的時候，
送一杯「極韻白」熱奶茶絕對超加分:红心:",29,1,32,18,2025-3-20
"飲料冷知識
-
八曜和茶任一支同樣飲品
使用「細吸管喝」跟「打開封膜喝」
喝起來味蕾感覺不一樣
-
你是/吸管喝派/還是/杯子喝派/？",798,30,2,0,2025-3-19
"如何安慰別人？
-
:叉号:說教。
:叉号:傾聽。
:叉号:擁抱。
:红色空心圆圈:欸，我有幫你買飲料。",4669,51,160,0,2025-3-18
如果你看到這段話，代表你現在很渴,1370,30,11,0,2025-3-17
"一定是太期待ㄦㄦ菌優惠，買一盒
送一杯順暢酸爽的菌乳茶系列，高興到睡不著",15,1,6,0,2025-3-15
世界上最好喝的白奶茶，最有心的禮物:红心:,17,0,17,72,2025-3-14
"老闆叫我介紹ㄦㄦ菌
我直接拍一圈給你看",78,1,77,227,2025-3-13
解膩無負擔代表選八曜~,10,0,33,6,2025-3-11
"故事開始 :
-
小時候曜頭跟柚香一起在廟裡玩
我們還偷吃神桌上的水果
-
突然廟公拿著棍子跑過來
柚香馬上把水果藏口袋
然後假裝是神明
-
結果廟公過來只看到我
於是他問我水果勒
-
我說在柚香口袋裡
廟公說誰是柚香
-
這時候我才知道
柚香是真的神",217,4,21,20,2025-3-10
"葡萄柚一定會有微苦？
-
「柚香覺醒307」的甘甜酸爽不怕苦，
清爽的口感，讓它成為你的心肝:红心:",27,2,25,11,2025-3-9
"今天來辦個古人同樂會
-
一杯茶，一個故事！
下面排隊自我介紹:反手食指向下指:",1723,293,54,0,2025-3-8
"選八曜的好處：
⬤無咖啡因
⬤新機能
⬤清爽
⬤無負擔
⬤不怕睡不著",27,0,44,103,2025-3-7
傻眼貓咪，ㄦㄦ第一天根本差點被秒殺！！,12,3,10,0,2025-3-6
"曜頭一天一包ㄦㄦ，
感覺每天腸胃都很幸福:红心:
-
八曜回饋祭（買ㄦㄦ還多送一杯ㄦㄦ！
一起當ㄦㄦ好朋友:手拉手的一男一女:
（門市販售中）",19,1,48,3,2025-3-5
"如果你獲得100分
代表你是手搖達人，懂喝飲料的你
一定要試試八曜「ㄦㄦ益生菌」感受順暢!!",8,0,25,11,2025-3-5
"霸道總裁的魅力，
就是讓你絕對不會口渴！
-
酷熱的天氣，霸道的清爽，
來杯「柚香覺醒307」:红心:",25,1,28,32,2025-3-4
:高压:打雷不要怕，我來當你的雷雷好朋友:手拉手的两个人:,652,13,4,0,2025-3-4
"真的超渴！超渴！
這時候來一杯清爽和風茶加「ㄦㄦ益生菌」
-
順暢解渴無負擔又可以大口喝:冰块:！！
（無咖啡因新機能:红心:）",85,10,295,505,2025-3-3
"好喝不用理由，八曜新飲食文化
無咖啡因、ㄦㄦ益生菌系列
-
給你更好的選擇",24,1,27,1,2025-3-2
"多少人還記得「八曜和茶」
打開了脆與無咖啡因飲品的時代。",112,1,15,9,2025-3-1
"如果你問他要不要喝八曜
他會回：啊啊！好啊:OK:我也要:红心:
（情緒價值滿滿）",59,2,142,514,2025-2-27
"想要維持朋友感情很簡單，
約喝八曜，一杯茶一個故事，
敘敘舊，回憶種種:红心:
-
世界上最好喝的奶茶「極韻白」",8,3,10,49,2025-2-27
"喝了ㄦㄦ的順暢解渴
加上無咖啡因飲品的..無負擔
真的..越來..越..想睡..各位明天..見",27,4,61,8,2025-2-26
"呼喚你這麼急，
原來是要找你到台中大墩買八曜!!
來一杯無咖啡因下午茶吧~",36,2,92,832,2025-2-26
"無論在什麼牌位，
只要你手上拿著時尚的八曜，
-
都會在他的心裡面。",14,2,4,137,2025-2-25
"只能說，喝完整個超順的ㄦ
一天一杯ㄦㄦ，養ㄦㄦ",15,1,3,0,2025-2-24
":火花:【台中南屯大墩門市盛大開幕】:火花:
:手拉手的两个女人:樓頂揪樓咖，來喝八曜享優惠:手拉手的两个人:
-
只要在八曜任一社群平台（FB、IG、Threads）
完成:反手食指向右指:追蹤+按讚+TAG 3位好友:反手食指向左指:
並掃描貼文QRcode:反手食指向右指:加入八曜會員:反手食指向左指:!!
就可以享以下開幕限定活動:带吸管杯:
-
:勾号按钮:2/28~3/1
消費飲品滿60元
送10元代金券1張:红色感叹号:
▻周邊商品(含HCY象印保溫瓶、HCY提袋、盒裝ㄦㄦ菌、YO307清爽柚·香氛片、八曜8金包)除外。
▻消費滿120元即贈兩張10元代金券，以此類推。
-
:勾号按钮:3/2
柚香覺醒307 買一送一
大放送:红色感叹号:
-
▻10元代金券使用期限為開幕日起30天內
▻以上三日開幕門市優惠活動無提供累積會員點數
▻優惠活動限來店消費適用，八曜和茶保有最終活動解釋權",2,1,36,375,2025-2-24
"如果你手上拿的是八曜
「借我喝一口」大概是整杯拿走",39,1,14,9,2025-2-23
"無咖啡因飲品加入八曜ㄦㄦ益生菌
是不是算是補給飲料的一種?",10,0,23,0,2025-2-23
"咖啡因攝取過多，讓你常常睡不好?
八曜專屬無咖啡因系列，讓你解渴又放鬆",60,1,30,50,2025-2-22
"一口飯一口清爽解膩的「好輕ㄦㄦ」
潤口穀麥配方，讓你無負擔:红心:",20,1,27,0,2025-2-22
"還在等訊息想他/她睡不著？
來杯「好眠ㄦㄦ」冷靜一下，明天再暈",26,1,42,424,2025-2-21
"曜頭會選「極韻白」奶茶
幫你整理好前三名了:红心:",54,1,79,26,2025-2-20
來杯「好解ㄦㄦ」將不好的回憶化解,42,1,96,46,2025-2-20
"冷知識：
世界上最好喝的白奶茶在八曜",38,1,25,372,2025-2-19
"現在讀書的時候聽這個
保證第一名:食指向上指:
-",5,1,67,6,2025-2-19
以下是「官方聲明」以及「LINE詐騙群組」內容,31,2,1,9,2025-2-19
"享受幸福，不用挑戰機率
「極韻白奶茶」極致品味200%",18,1,11,53,2025-2-18
"有些回憶的味道忘不掉
就像「極韻白奶茶」回味無窮",48,2,40,35,2025-2-18
"現在連偷偷跑去買個「八曜8金包」
都被發現！！
-
拿在手上太顯眼想「消失」都不行！",70,1,48,101,2025-2-17
"既然一個禮拜五杯
你有更好的無咖啡因新選擇:红心:",37,0,64,22,2025-2-16
"意外發現，門市夥伴都身懷絕技
果然年輕人的場子就要盡情發揮:红心:
-
當天飲料不用搖，但身體要搖:举双手:",81,1,12,56,2025-2-12
"元宵節湯圓吃膩了嗎？
-
曜頭都吃八曜的「蜜漬白玉丸」
加到最好喝的奶茶_極韻白
-
給自己不一樣的元宵節:红心:",361,9,1,0,2025-2-12
"恭喜夥伴得到35萬大紅包:红包:
每年八曜超爽春酒「曜旺祭」
-
好運Cccccccccccccc起來",853,8,32,0,2025-2-11
"告訴大家八曜賓果密碼！
這組名牌我只報一次
-
極韻白 店選 1分 35% 5杯",1656,8,8,0,2025-2-11
春酒撒錢好玩到老闆都被扁（不..小心的..,111,1,21,112,2025-2-10
"今年春酒，撒錢環節就像 superbowl
財神爺腦袋被刻拐子（裡面其實是老闆..",235,3,58,98,2025-2-10
"傳訊息給朋友第一句話
-
：「欸 在嗎？」
:反手食指向右指:大概30分鐘內回覆
-
：「欸 要不要訂八曜？」
:反手食指向右指:30秒內回覆",1513,22,4,0,2025-2-9
"八曜全體夥伴共襄盛舉
年度忘年會「曜旺祭」:红心:超好玩啦",135,8,15,69,2025-2-8
"電音三太子開場！！財神爺撒錢進場！！
每年八曜的最強忘年會～
-
今年有門市獨得35萬現金大獎！
包出超過100個紅包跟20幾項獎品:红心:
-
但最重要的是，
看見辛苦的門市夥伴們，一起歡樂的參與盛宴。
-
2025八曜就曜旺:火焰:
(夥伴也可以分享現場畫面在留言處）",242,12,6,0,2025-2-8
"身體重要的器官都有一對，
是為了以防萬一。
-
所以上天給我們一雙手，
就是要你一次拿兩杯八曜。",2107,34,27,0,2025-2-7
"曜頭怕被炒掉
上限卡個20萬好了
-
當作是送春酒全體員工，
活動中的加碼獎金！！求各路曜粉支援！
-
如果超過10000愛心
按愛心+分享＋留言「八曜今年超旺
曜頭抽三位民眾送「8曜大禮包」
-
:礼物:禮包內容：
（即將公開周邊）×1
盒裝ㄦㄦ菌 x1
八曜招牌小燈箱x1
八曜祈福黑珠繩杯袋x1
清爽柚•香氛片（兩款各1）
-
2/6 21:00截止
2/7公佈抽獎名單",1789,280,762,613,2025-2-5
建議來杯八曜極韻白，舒緩一下。,50,1,25,56,2025-2-3
"春節連假
你當了幾天沙發馬鈴薯:土豆:",140,16,5,0,2025-2-2
"來辦個B-Box鞭炮聲比賽
-
這則貼文只能用語音回覆",3711,294,78,0,2025-2-1
"初四，一定要喝杯浪煎龍片504
好運龍蛇來～
-
刮不一定得到，曜一定喝的到",32,1,34,318,2025-2-1
"吃太飽，想睡覺但卻脹氣卡卡？
-
來杯八曜ㄦㄦ益生菌乳茶系列
酸甜的口感，解膩又順暢:红心:",15,0,7,7,2025-1-31
今年你是？,166,10,4,0,2025-1-29
柚香配白玉，團圓又圓滿,78,5,3,0,2025-1-29
"八曜除夕部分店家沒有營業
讓夥伴好好過年:爆竹:
-
可以先打電話到門市確認是否開店
也可以到官方ig搜尋除夕開店資訊喔:红心:
-
來八曜來一杯極韻白
好運ccccccc爆:摇滚:",82,3,17,11,2025-1-28
"我打電話過去..都叫ㄦㄦ！
-
因為「過年大魚大肉」
一杯酸甜解膩的口感:红心:
八曜ㄦㄦ益生菌讓你順暢ㄦㄦ",103,1,259,865,2025-1-27
"春節不妨來一杯八曜「極韻白」
「極致開運」:红心:
-
燕麥奶的絲滑口感
是世界上最好喝的奶茶呀！",19,0,28,35,2025-1-26
"你超級需要一杯極韻白
沒有為什麼",40,1,27,18,2025-1-22
希望大家平安，我愛大家！,244,2,264,62,2025-1-21
"辛苦上課工作一天了，
用世界上最好喝的奶茶「極韻白」，
-
剛好伸展脖子也可以用力吸一口，
犒賞自己，
-
別忘了！今天才禮拜一",60,1,135,1481,2025-1-20
"離過年剩下一個禮拜，
準備好「世界上最好喝的奶茶」
送回去跟家人喝茶聊聊天
-
也抱抱好久不見的家人:红心:",65,1,19,6,2025-1-15
"再配上一杯「極韻白」奶茶（可做熱飲）
-
絲滑的口感，獨一無二的八曜奶茶
讓你享受最完美觀影體驗:红心:",20,7,13,1,2025-1-13
"極韻白終於回來了！
-
急凍冷天，最適合來杯暖暖的「精品奶茶」
用「世界上最好喝的奶茶」來暖暖手心:红心:",23,6,19,28,2025-1-13
"天氣寒冷總需要補補身
曜頭推薦幾個方案
-
1.羊肉爐+京彩舞伎紅茶
2.火鍋+究極308
3.薑母鴨+極韻白奶茶
4.燒肉+柚香覺醒307
5.壽喜燒+浪煎龍片504",978,14,8,0,2025-1-11
:喇叭:極韻白系列回來了:闪亮:,100,5,15,10,2025-1-11
"23:50點名囉
-
有人這時間還在喝飲料嗎？",381,27,0,0,2025-1-7
"明天是8曜日！！
-
每個月8、18、28點數雙倍送:五彩纸屑球:
集滿8點可以兌換飲品喔:红心:",88,26,11,4,2025-1-7
"：你的耳機在聽什麼？
：柚香覺醒307，因為很「潮」
-",200,3,529,1054,2025-1-5
"滑手機滑到無聊，可以試試
Threads > IG >八曜菜單 > 循環
-",71,1,42,71,2025-1-5
"看看當下自己擁有的，
如果你還能夠喝上一杯八曜，
你已經超級幸運。",298,1,52,63,2025-1-4
"▾▾▾抽獎資格這邊看 ▾▾▾
:播放按钮:追蹤八曜和茶+按讚分享貼文
:播放按钮:標記3位好友
:播放按钮:於本貼文下方留言:
-
:反手食指向下指::反手食指向下指::反手食指向下指::反手食指向下指::反手食指向下指::反手食指向下指::反手食指向下指::反手食指向下指::反手食指向下指:
:警告:（猜猜要回歸的飲品是誰?）:警告:
-
猜對飲品即可參加抽選:双感叹号:
※一帳號只可留言一次，重複留言僅以首次留言為準
▲ 活動時間：即日起~至1/7(二)12:00截止
▲ 公布中獎名單：2025/1/8(三)
▲ 中選者需於 2025/1/12(日)23:59 前
私訊小編核對身份，逾期者將取消資格
-
:礼物:獎品內容：
8曜發蛇金‧祈福紅包一組(2入)(FB、IG、Threads各抽5組)
(八曜和茶有限公司保留調整活動內容之權利。)",21,1,10,15,2025-1-3
大家久等了:红心:,103,1,54,1744,2025-1-3
"親愛的顧客，您好：
為了嚴格把關我們
提供優質品質及服務的核心精神，
我們將針對關於食品衛生安全
之整體內部作業流程
全面進行檢查與消毒清潔等控管，
-
＃高雄文橫門市於
＃01月03日清潔消毒停止營運1天，
期間內文橫門市之所有商品暫停在實體
及第三方外送平台等一切通路之販售。
-
對於門市之臨時政策造成之不便，
我們誠摯且由衷向大家致上最深的歉意，
若有任何問題煩
請不吝詢問與告知我們，謝謝。
八曜和茶 敬啟
-
（公告張貼期間：2025年01月03日）",132,1,5,0,2025-1-2
重磅預告，2025春節經典飲品再現！,66,4,14,1,2025-1-1
"▾▾▾活動資格這邊看 ▾▾▾
:播放按钮:追蹤八曜和茶+按讚分享貼文
:播放按钮:標記3位好友
:播放按钮:於本貼文下方留言:
:反手食指向下指::反手食指向下指::反手食指向下指::反手食指向下指::反手食指向下指::反手食指向下指::反手食指向下指::反手食指向下指::反手食指向下指:
-
:警告:（猜猜要回歸的飲品是誰?）:警告:
猜對飲品即可參加抽選:双感叹号:
-
※一帳號只可留言一次，重複留言僅以首次留言為準
▲ 活動時間：即日起~至1/6(一)12:00截止
▲ 公布中獎名單：2025/1/7(二)
▲中選者需於 2025/1/12(日)23:59 前
私訊小編核對身份，逾期者將取消資格",17,3,57,25,2024-12-31
"如果你今天買八曜去跨年，
你會是2025年第一批喝八曜的人。
-
用舒服的方式幫2025開場:红心:",625,10,2,0,2024-12-31
"無論你是孤獨跨年還是親朋好友一起
手上有一杯「柚香覺醒307」今年一定超順！
把好運的秘訣分享給更多人",532,5,8,0,2024-12-30
"「台南永華」以及「台中水湳」門市
營業時間延長，陪大家歡慶跨年:拉炮彩带:",36,3,38,25,2024-12-30
"新竹的朋友久等了:双感叹号::双感叹号::双感叹号:
-
今天竹北開幕活動最後一天
:反手食指向右指:柚香覺醒買一送一:反手食指向左指:",147,2,2,0,2024-12-29
"考驗曜粉的團結度
一人一句把這首歌唱完
提示「主角帶著一隻龍跟蟋蟀」
-
我先：大家同心作戰",370,37,1,0,2024-12-28
"如果有人遞給你選擇
「一張刮刮卡」跟「一杯八曜」
你會選哪一個？",2767,151,11,0,2024-12-27
"快！！趕緊帶一杯「柚香覺醒307」
-
回家看:乌贼:魷魚遊戲第二季！！",378,5,1,0,2024-12-26
"01:40簽到囉
-
今天聖誕節，喝爆的舉手:举手:
是Merry christmas 還是lonely christmas?",309,4,0,0,2024-12-26
